title,date,notes,bunting
New Year’s Day,2024-01-01,,True
2nd January,2024-01-02,,True
Good Friday,2024-03-29,,False
Early May bank holiday,2024-05-06,,True
Spring bank holiday,2024-05-27,,True
Summer bank holiday,2024-08-05,,True
St Andrew’s Day,2024-12-02,Substitute day,True
Christmas Day,2024-12-25,,True
Boxing Day,2024-12-26,,True
New Year’s Day,2025-01-01,,True
2nd January,2025-01-02,,True
Good Friday,2025-04-18,,False
Early May bank holiday,2025-05-05,,True
Spring bank holiday,2025-05-26,,True
Summer bank holiday,2025-08-04,,True
St Andrew’s Day,2025-12-01,Substitute day,True
Christmas Day,2025-12-25,,True
Boxing Day,2025-12-26,,True
New Year’s Day,2026-01-01,,True
2nd January,2026-01-02,,True
Good Friday,2026-04-03,,False
Early May bank holiday,2026-05-04,,True
Spring bank holiday,2026-05-25,,True
Summer bank holiday,2026-08-03,,True
St Andrew’s Day,2026-11-30,,True
Christmas Day,2026-12-25,,True
Boxing Day,2026-12-28,Substitute day,True
New Year’s Day,2027-01-01,,True
2nd January,2027-01-04,Substitute day,True
Good Friday,2027-03-26,,False
Early May bank holiday,2027-05-03,,True
Spring bank holiday,2027-05-31,,True
Summer bank holiday,2027-08-02,,True
St Andrew’s Day,2027-11-30,,True
Christmas Day,2027-12-27,Substitute day,True
Boxing Day,2027-12-28,Substitute day,True
